customer_no,total_enq_amt_x,total_enq_amt_y
827,2976000,52
828,1042000,9
829,1302001,9
830,63000,5
831,3007012,22
832,3970001,27
833,6008000,45
834,1843900,16
835,4065891,23
836,160500,7
837,1867000,10
838,8954203,48
839,4768764,19
840,964650,15
841,2454101,22
842,235200,8
843,5261101,42
844,290200,10
845,3092000,50
846,2323990,16
847,452000,4
848,1266101,13
849,2380001,34
850,8003003,30
851,659415,11
852,320700,5
853,150100,4
854,996000,18
855,4356000,23
856,472100,20
857,269000,11
858,2071601,11
859,4747000,16
860,75551001,29
861,3022000,35
862,18238000,59
863,466001,5
864,2335800,10
865,1619000,15
866,725000,7
867,1036379,9
868,98000,3
869,862500,7
870,207923846,94
871,8103001,25
872,506000,12
873,10128100,29
874,937000,10
875,752100,16
876,2242094,36
877,1451000,7
878,52000,3
879,3915000,31
880,3981100,23
881,1276200,19
882,1006001,24
883,1950380,35
884,2407090,16
885,1162320,12
886,2768000,21
887,616200,11
888,102000,4
889,300001,13
890,97000,7
891,1325100,19
892,1042300,15
893,971000,20
894,378000,14
895,1780300,23
896,2269655,22
897,1641700,9
898,1362000,8
899,14393300,42
900,293001,9
901,3533000,35
902,732000,5
903,466662,17
904,1726000,19
905,501000,7
906,19033700,17
907,8923204,38
908,337000,12
909,945000,19
910,33794905,25
911,1750000,25
912,150000,2
913,3296100,30
914,996000,8
915,61000,3
916,100256000,8
917,374000,7
918,104000,5
919,2070200,24
920,1182000,22
921,2628519,25
922,8530951,33
923,431600,8
924,4690252,29
925,5393000,12
926,906000,20
927,81000,5
928,71000,4
929,227250,5
930,342001,15
931,5688450,39
932,15250103,53
933,4530100,44
934,4187500,28
935,103125500,32
936,257300,7
937,3151000,24
938,1253000,5
939,5167085,61
940,1835000,5
941,113000,5
942,683000,10
943,48200,2
944,13953000,30
945,27912000,47
946,536000,4
947,286200,10
948,62000,4
949,250000,3
950,2069600,34
951,1916400,36
952,15469500,15
953,224500,7
954,4400200,30
955,4011150,28
956,565100,13
957,8149001,29
958,10811790,40
959,13229872,33
960,2140000,8
961,261000,5
962,731001,11
963,300100,5
964,165950802,50
965,2639600,19
966,1260600,21
967,2669200,28
968,6631201,53
969,142000,6
970,5901000,6
971,4769001,19
972,9953203,23
973,100622000,10
974,212000,5
975,330000,8
976,1068338,8
977,1250000,7
978,2259000,5
979,3841000,24
980,512001,10
981,1046001,6
982,3633000,5
983,3020000,35
984,4312000,9
985,51972000,30
986,121000,4
987,71000,4
988,4653500,20
989,309000,11
990,2870372,12
991,2679490,6
992,2036150,35
993,5107990,24
994,3097001,15
995,376000,8
996,3536403,36
997,2157000,17
998,756101,13
999,9492300,37
1000,193000,10
1001,113000,4
1002,3586500,24
1003,470000,8
1004,1229390999,24
1005,224000,11
1006,5726101,38
1007,8313201,20
1008,278000,7
1009,626000,20
1010,1771299,15
1011,212000,5
1012,4449200,16
1013,2370001,12
1014,4301492,17
1015,512000,13
1016,168090,5
1017,1954000,29
1018,1375000,24
1019,5683494,29
1020,241000,2
1021,37882010,20
1022,235002,10
1023,62000,1
1024,2010175,9
1025,12128000,12
1026,1101000,7
1027,8193150,24
1028,8655000,17
1029,1762950,19
